id,created,text,screen name,name,mention 1,mention 2,hashtag 1,hashtag 2,url 1,url 2,lat,lon,place name,place type
752998162986569729,Tue Jul 12 22:48:46 +0000 2016,De dónde es el técnico? Ya no hace falta decir más. https://t.co/y6WIXYBkGm,Daybilutxi,DaVid Noodles®,,,,,https://twitter.com/RCaroMoreno/status/752978835608576000,,,,,
752998166119735296,Tue Jul 12 22:48:47 +0000 2016,"RT @Dupont_Damien: Rassurez moi, les 20M€ investis par le Barca sur Digne, c’est du blanchiment d’argent du niveau de la fraude fiscale de…",lio97220,Mauvais oeil,Dupont_Damien,,PSG,,,,,,,
752998166061015041,Tue Jul 12 22:48:47 +0000 2016,RT @jmcordi: Luego dirán que Messi no sabía lo que hacía. https://t.co/tvSBrVqhd1,rogeele,Rogelio Sanz Sanchis,jmcordi,,,,,,,,,
752998171731787776,Tue Jul 12 22:48:48 +0000 2016,"RT @CorrupTimes: Quien no paga sus impuestos no nos ataca a todos. Si todos fuésemos como #Messi no habría hospitales, colegios... https://…",JMSH1966,José Manuel Sánchez,CorrupTimes,,Messi,,,,,,,
752998172742578176,Tue Jul 12 22:48:49 +0000 2016,RT @HoyEnDeportes4: ¡EXCLUSIVA! Messi cazado con un bañador azul y su mujer con un bikini blanco. Su fichaje por el Chelsea es inminente ht…,oscar26__26,Óscar,HoyEnDeportes4,,,,,,,,,
752998179210166272,Tue Jul 12 22:48:50 +0000 2016,RT @alex_kaiser4: Como la sigue liando Messi https://t.co/oXsWO9HKZH,paulicule,Paulii,alex_kaiser4,,,,https://twitter.com/lequipe/status/752852312452771840,,,,,
752998201729359880,Tue Jul 12 22:48:55 +0000 2016,"RT @mercizizou_: El Barça y Mascherano se declaran culpables ante Hacienda, Messi condenado, Neymar embargado, Núñez en la carcel, Urdangar…",CastillaRmcf,CastellanoMadridista,mercizizou_,,,,,,,,,
752998209430122497,Tue Jul 12 22:48:57 +0000 2016,"RT @BarcelonaVideos: Messi's new tattoo ""Mateo"" https://t.co/rQzRPnuyR9",opsseballo,Lua,BarcelonaVideos,,,,,,,,,
752998211372064768,Tue Jul 12 22:48:58 +0000 2016,"RT @neymarjr: Nao teve jeito ... Deu a lógica !! Parabéns ao Barcelona, e vem cá! depois de fera, craque, gênio vem o que ?? O Messi esta a…",oleoatanasio,El Depredador,neymarjr,,,,,,,,,
752998213079236613,Tue Jul 12 22:48:58 +0000 2016,ESTO pero con Messi https://t.co/4EiDJXZUpC,Longaress,Jesús Longares,,,,,https://twitter.com/atooca/status/662051598953238528,,,,,
752998214803087361,Tue Jul 12 22:48:59 +0000 2016,Me ha gustado un vídeo de @YouTube (https://t.co/pGkmGYzMiO - EL TORERO Y CASO MESSI).,LaMafiaDelTroLL,LaMaFiaDelTroLL,YouTube,,,,http://youtu.be/2GChJW1lpEg?a,,,,,
752998215331504128,Tue Jul 12 22:48:59 +0000 2016,j'espere il va garder sa bebar messi,Pioche93,mam'$®,,,,,,,,,,
752998216321343493,Tue Jul 12 22:48:59 +0000 2016,@Jorgegalan99 eso si pero la familia no messi si tu hermano eompe un plato porq te tienen que castigar ati también pues lo de messi es igual,KTariverdi7,kevin tariverdi,Jorgegalan99,,,,,,,,,
752998217650962433,Tue Jul 12 22:48:59 +0000 2016,"RT @History_Futbol: Todos hablan del golazo de Lionel Messi, pero no veo hablando de esta obra de arte de Zlatan Ibrahimovic. https://t.co/…",FernandoKrenn,fer,History_Futbol,,,,,,,,,
