Tue Jul 12 21:52:42 +0000 2016,RT @favechracter: steve rogers || captain america http://t.co/NjiApOZ680,0,rt your fave,rt your fave,favechracter,94,279,928
Tue Jul 12 21:52:51 +0000 2016,RT @CamrenNews: My ship and her captain #VeranoMTV2016 Fifth Harmony https://t.co/aud5CuLE4y,0,Camren News,Camren News,CamrenNews,36,50,98
Tue Jul 12 21:52:52 +0000 2016,"RT @OverwatchGG: Ana's Legendary Skins: Wadjet, Wasteland, Captain Amari and Horus. https://t.co/0TJyTMxD7v",0,OverwatchGG,OverwatchGG,OverwatchGG,153,440,5220
Tue Jul 12 21:52:53 +0000 2016,RT @Magwa_1888: Said it before Brown is not captain material,0,John McGuire,John McGuire,Magwa_1888,253,537,4531
Tue Jul 12 21:52:54 +0000 2016,"RT @MobyDickatSea: How many barrels will thy vengeance yield thee even if thou gettest it, Captain Ahab?",0,Moby Dick,Moby Dick,MobyDickatSea,858,2343,6653
